familia,parametros,auc,auc_desvio,log_loss,log_loss_desvio,brier,auc_dobras
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 63, ""max_iter"": 200, ""learning_rate"": 0.2, ""l2_regularization"": 0.0}",0.6611347455116474,0.014254087437524392,0.6340132644990604,0.008241223514076846,0.2223414090393699,"[0.6747120275761537, 0.6618527529221245, 0.656202568870059, 0.639724507072501, 0.6731818711173994]"
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 63, ""max_iter"": 400, ""learning_rate"": 0.2, ""l2_regularization"": 10.0}",0.6618171122597126,0.014366380074883852,0.6336799633527453,0.008538024917889084,0.22219581332690058,"[0.6755068602130156, 0.6617769509052122, 0.6584762052945503, 0.6397236963668438, 0.6736018485189413]"
gradient boosting,"{""min_samples_leaf"": 50, ""max_leaf_nodes"": 7, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 1.0}",0.6636348775802356,0.01496126202442904,0.6325310053820905,0.008625019367561534,0.22170174134583237,"[0.6781760397312819, 0.6647794598178914, 0.6588851680238798, 0.6408428333449908, 0.6754908869831341]"
gradient boosting,"{""min_samples_leaf"": 50, ""max_leaf_nodes"": 7, ""max_iter"": 100, ""learning_rate"": 0.05, ""l2_regularization"": 1.0}",0.6631802599853327,0.014568596733853962,0.6330766216574253,0.008668715296984342,0.22190152582650718,"[0.6779279108132996, 0.6644979600878941, 0.6590416487446233, 0.6407624858386165, 0.6736712944422304]"
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 31, ""max_iter"": 200, ""learning_rate"": 0.02, ""l2_regularization"": 0.0}",0.6631694886756689,0.01394385236985779,0.6326513641331644,0.008439908456704035,0.2217715523553665,"[0.676927415824295, 0.6639358701106984, 0.6596971593778145, 0.6416009621090291, 0.6736860359565071]"
gradient boosting,"{""min_samples_leaf"": 200, ""max_leaf_nodes"": 7, ""max_iter"": 400, ""learning_rate"": 0.2, ""l2_regularization"": 0.1}",0.6625123759719731,0.014874272548101527,0.633223241454539,0.008585673367890546,0.22201159458900044,"[0.6768830766617204, 0.6638338267013127, 0.6570233067255077, 0.6401694407875429, 0.6746522289837813]"
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 15, ""max_iter"": 100, ""learning_rate"": 0.05, ""l2_regularization"": 10.0}",0.6636616163441882,0.014230783204298242,0.6327842192614337,0.008567859472316752,0.22176775127341242,"[0.6775065372592223, 0.6657319800392929, 0.6593889821497801, 0.6415912686403894, 0.6740893136322567]"
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 15, ""max_iter"": 100, ""learning_rate"": 0.2, ""l2_regularization"": 10.0}",0.6632590056274373,0.01432917187157546,0.6327749119597632,0.008279539742777994,0.22181833061479073,"[0.6771251383374871, 0.6650339573926441, 0.6581143857615606, 0.6415134162952306, 0.6745081303502644]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": 0.3, ""max_depth"": 8}",0.6619840444260159,0.014412150136920035,0.6339316665451321,0.00842367996807688,0.22227959949380488,"[0.6760485166043826, 0.6623500366600511, 0.6595993139521242, 0.6393079470522224, 0.6726144078612988]"
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""max_depth"": 8}",0.6615299016873066,0.014236602058980988,0.6341413592689413,0.00861498914839019,0.2223729601786025,"[0.6760742137569242, 0.6626441814215159, 0.6592534332704947, 0.6389765923880335, 0.6707010875995653]"
