id_municipio,nome,sigla_uf,rede_nome,alunos,prob_bater_meta,taxa_real,bateu_meta
2513802,Santa Teresinha,PB,Municipal,35,43.0,42.8,0
2513851,Santo André,PB,Municipal,25,54.5,35.8,0
2513968,São Domingos,PB,Municipal,22,87.9,54.5,0
2513984,São Francisco,PB,Municipal,39,47.9,97.5,1
2514453,São José dos Ramos,PB,Municipal,56,32.4,27.4,0
2514503,São José de Piranhas,PB,Municipal,134,22.2,55.8,0
2514701,São José do Sabugi,PB,Municipal,31,48.7,48.5,0
2514909,São Mamede,PB,Municipal,60,32.6,49.0,0
2515005,São Miguel de Taipu,PB,Municipal,23,15.0,100.0,1
2515104,São Sebastião de Lagoa de Roça,PB,Municipal,74,60.6,57.2,0
2515609,Serra da Raiz,PB,Municipal,29,58.5,48.9,0
2516003,Solânea,PB,Municipal,187,57.3,45.7,0
2516102,Soledade,PB,Municipal,111,21.3,47.3,0
2516300,Sumé,PB,Municipal,132,33.7,64.5,1
2516409,Tacima,PB,Municipal,45,31.1,77.7,1
2600054,Abreu e Lima,PE,Municipal,722,16.9,46.4,0
2600609,Alagoinha,PE,Municipal,171,27.2,53.9,0
2601805,Betânia,PE,Municipal,92,68.5,77.0,1
2601904,Bezerros,PE,Municipal,401,33.2,56.8,0
2602001,Bodocó,PE,Municipal,289,22.2,47.3,0
2602704,Buenos Aires,PE,Municipal,124,72.5,85.5,1
2602803,Buíque,PE,Municipal,508,30.2,55.5,0
2603306,Calçado,PE,Municipal,59,75.0,40.7,0
2603405,Calumbi,PE,Municipal,83,89.9,86.0,1
2603504,Camocim de São Félix,PE,Municipal,169,67.9,68.5,1
2603702,Canhotinho,PE,Municipal,226,34.7,65.5,1
2603801,Capoeiras,PE,Municipal,211,53.3,69.7,1
2604700,Correntes,PE,Municipal,130,37.8,72.0,1
2605103,Custódia,PE,Municipal,366,80.6,84.6,1
2605152,Dormentes,PE,Municipal,169,71.3,83.4,1
2605202,Escada,PE,Municipal,406,32.1,30.5,0
2605400,Feira Nova,PE,Municipal,219,86.7,83.3,1
2605509,Ferreiros,PE,Municipal,82,72.8,41.4,0
2605806,Frei Miguelinho,PE,Municipal,97,68.6,70.7,1
2606002,Garanhuns,PE,Municipal,1278,30.1,69.7,1
2606507,Iati,PE,Municipal,173,67.7,82.3,1
2607802,Itaquitinga,PE,Municipal,78,29.7,57.3,0
2607950,Jaqueira,PE,Municipal,71,41.7,81.7,1
2608404,Jurema,PE,Municipal,155,35.6,60.6,1
2608503,Lagoa de Itaenga,PE,Municipal,165,79.4,79.4,1
2608750,Lagoa Grande,PE,Municipal,344,56.0,67.5,1
2608909,Limoeiro,PE,Municipal,377,84.3,67.0,1
2609154,Manari,PE,Municipal,174,61.3,52.9,0
2610400,Parnamirim,PE,Municipal,175,42.0,58.9,0
2612505,Santa Cruz do Capibaribe,PE,Municipal,1020,28.4,55.9,0
2612604,Santa Maria da Boa Vista,PE,Municipal,462,32.1,64.4,1
2612703,Santa Maria do Cambucá,PE,Municipal,90,82.3,70.0,1
2613206,São João,PE,Municipal,177,73.6,54.5,0
2613404,São José da Coroa Grande,PE,Municipal,244,21.5,39.2,0
2614402,Solidão,PE,Municipal,70,91.2,94.0,1
2614501,Surubim,PE,Municipal,286,41.6,58.7,0
2614600,Tabira,PE,Municipal,298,89.9,69.1,1
2614808,Tacaratu,PE,Municipal,151,49.6,73.8,1
2615003,Taquaritinga do Norte,PE,Municipal,235,71.0,59.6,0
2615706,Triunfo,PE,Municipal,134,87.7,80.6,1
2701100,Branquinha,AL,Municipal,118,77.6,79.9,1
2701407,Campo Alegre,AL,Municipal,456,63.8,67.4,1
2701704,Capela,AL,Municipal,201,14.1,42.5,0
2701902,Chã Preta,AL,Municipal,56,14.4,51.7,0
2703007,Ibateguara,AL,Municipal,79,75.9,54.4,0
2703106,Igaci,AL,Municipal,242,7.6,24.3,0
2703700,Jaramataia,AL,Municipal,62,10.3,40.3,0
2703908,Jundiá,AL,Municipal,52,11.0,44.3,0
2704807,Maribondo,AL,Municipal,94,26.5,41.5,0
2705507,Murici,AL,Municipal,234,29.9,84.4,1
2706307,Palmeira dos Índios,AL,Estadual,38,3.3,39.2,0
2706307,Palmeira dos Índios,AL,Municipal,586,7.9,38.7,0
2706406,Pão de Açúcar,AL,Municipal,307,23.2,55.3,0
2706448,Paripueira,AL,Municipal,232,40.6,35.8,0
2707602,Quebrangulo,AL,Municipal,166,48.4,61.4,1
2708303,São José da Laje,AL,Municipal,171,78.6,95.3,1
2708501,São Luís do Quitunde,AL,Municipal,398,9.5,53.6,0
2708808,São Sebastião,AL,Municipal,336,7.5,42.4,0
2708956,Senador Rui Palmeira,AL,Municipal,159,30.8,57.1,0
2800407,Arauá,SE,Municipal,108,4.1,28.6,0
2800605,Barra dos Coqueiros,SE,Estadual,30,38.4,28.6,0
2800605,Barra dos Coqueiros,SE,Municipal,248,3.2,28.0,0
2800670,Boquim,SE,Estadual,22,7.1,50.0,0
2800670,Boquim,SE,Municipal,142,3.2,33.0,0
2801207,Canindé de São Francisco,SE,Municipal,460,3.2,26.7,0
2801900,Cumbe,SE,Municipal,33,10.6,54.5,0
2803302,Japaratuba,SE,Municipal,167,6.2,58.3,0
2803500,Lagarto,SE,Estadual,136,52.5,68.4,1
2803500,Lagarto,SE,Municipal,621,3.6,31.3,0
2803708,Macambira,SE,Municipal,24,8.0,29.2,0
2803807,Malhada dos Bois,SE,Municipal,67,10.2,37.6,0
2804003,Maruim,SE,Municipal,122,3.5,31.2,0
2804102,Moita Bonita,SE,Municipal,90,7.0,58.0,0
2804458,Nossa Senhora Aparecida,SE,Municipal,46,9.4,59.0,0
2805109,Pedrinhas,SE,Municipal,62,3.6,11.5,0
2805505,Poço Verde,SE,Municipal,153,3.4,40.5,0
2805604,Porto da Folha,SE,Estadual,18,10.2,16.7,0
2805604,Porto da Folha,SE,Municipal,210,3.1,16.9,0
2807006,São Miguel do Aleixo,SE,Municipal,26,9.8,46.4,0
2807402,Tobias Barreto,SE,Municipal,415,6.6,46.3,0
2900355,Adustina,BA,Municipal,139,9.0,42.4,0
2901155,América Dourada,BA,Municipal,192,3.7,43.2,0
2901908,Aporá,BA,Municipal,230,3.2,16.5,0
2902005,Aracatu,BA,Municipal,83,5.5,28.9,0
2902500,Baianópolis,BA,Municipal,142,4.9,35.9,0
